Row Labels,12,13,14,15,16,17,18,19,20,21,22,Grand Total
Ansonia,,,6,163,77,57,91,114,53,35,,596
Avon,,,,,1,,35,,14,7,,57
Beacon Falls,1,1,18,2,21,1,15,35,41,3,7,145
Berlin,,,1,1,,41,120,93,49,29,10,344
Bethleham,,,,11,2,,,,,,,13
Bolton,,,,,5,5,5,233,77,25,17,367
Bozrah,,,,,,2,3,29,52,35,28,149
Branford,,,2,22,,9,,,,,,33
Bridgeport,,,1,,,1,,,,,,2
Bridgewater,,,,7,,8,16,49,50,61,9,200
Bristol,,,2,,,,,,,,,2
Brooklyn,,,,,,,,1,4,,24,5
Burlington,,,,,,,,,,,,
Canaan,,,,,,,14,42,138,69,39,302
Canterbury,,,,,,,,4,,,5,4
Canton,,,,1,3,3,36,31,39,,34,113
Chaplin,,,,,,,,,,,,
Cheshire,,1,,88,65,33,18,12,,,3,217
Chester,,,,,,5,31,288,156,26,12,518
Clinton,,,1,15,24,,,52,25,30,1,148
Cornwall,,,,,,1,8,36,15,1,,61
Coventry,,,,,,,18,,,,,18
Cromwell,,,1,11,35,47,,44,19,24,34,215
Darien,,,,,,,,,,,,
Deep River,,,,,1,1,7,182,143,28,9,371
Derby,,,4,3,6,,33,36,,1,,83
Durham,,,2,3,5,,21,65,31,19,4,150
East Granby,,,,,,,,40,11,,,51
East Haddam,,,,,,,3,84,,,,87
East Hartford,,,,,,,2,,,,,2
East Haven,,,,,,,59,30,,,3,89
Ellington,,,,1,2,4,38,,,,2,45
Enfield,,,,,,,,23,47,,,70
Essex,,,,,4,18,,15,52,,2,89
Fairfield,,,,,4,,,,,,,4
Franklin,,,,,,1,3,3,,,,4
Glastonbury,,,,3,31,12,7,45,24,24,22,168
Granby,,,,,,,,14,2,,,16
Guilford,,,,12,,2,,76,10,1,,101
Haddam,,,,2,1,27,24,87,8,,,149
Hamden,,6,188,523,1,18,35,53,6,4,,834
Hampton,,,,,,,,,,,,
Hartland,,,,,,,1,,,,,1
Hebron,,,,1,,4,,,47,19,,52
Kent,,,,2,,,6,91,47,64,56,266
Killingly,,,,,,,,5,6,,8,11
Killingworth,,,,,3,1,54,251,34,43,,386
Lebanon,,,,,,3,,,,,,343
Ledyard,,,,,,,,,,,,
Litchfield,,,1,28,22,48,52,6,120,,,277
Lyme,,,,,,,,,,,,
Madison,,,,4,5,1,54,118,53,5,,240
Meriden,,,12,97,12,60,11,50,4,1,,247
Middlebury,,3,29,62,36,34,29,1,19,,1,213
Middlefield,,,,14,2,31,28,55,,,,130
Middletown,,,,14,38,59,,27,26,6,4,174
Milford,,,,15,15,1,16,16,2,71,10,146
Monroe,,,,46,27,149,75,105,73,57,15,547
Morris,,,,,1,39,,,,,,40
Naugatuck,2,2,4,4,24,3,2,3,,,0,44
New Canaan,,,,,,,1,36,,,,37
New Hartford,,,,,,2,7,57,26,,,92
New Haven,,,1,15,,,6,19,4,,2,45
New Milford,,,,2,3,,,19,57,2,,83
Newtown,,,,,,,,,,,,
North Branford,,1,,58,,25,71,121,12,45,21,354
North Haven,,,45,77,1,,,5,,,,128
North Stonington,,,,,,,2,35,31,30,,0
Old Lyme,,,,,,18,24,136,35,,1,68
Old Saybrook,,,,,1,14,16,42,,,,73
Orange,,,,14,6,3,12,,6,3,14,58
Plainville,,,1,5,,6,16,23,27,2,,80
Pomfret,,,,,,1,,4,,1,,5
Portland,,,1,7,4,,,,,,1,12
Preston,,,,,,,,2,29,1,24,12
Prospect,37,30,,55,11,18,21,55,57,2,5,291
Putnam,,,,,,,,,,,,
Redding,,,,,1,11,15,3,12,,,42
Ridgefield,,,,,,,11,66,,,,77
Rocky Hill,,,2,5,1,2,2,10,,,,22
Roxbury,,,,7,2,8,32,148,90,61,42,390
Salisbury,,,,,,,9,,,,,9
Scotland,,,,,,,,4,,,,4
Seymour,,,83,44,16,72,45,52,14,10,34,4
Sharon,,,,,,1,41,76,71,40,56,285
Shelton,,,5,50,1,,,6,8,,,70
Sherman,,1,,,1,,14,50,82,55,19,222
Southbury,,1,18,97,127,57,93,81,46,4,6,148
Southington,,,8,58,44,22,38,112,17,4,,303
Sprague,,,,1,,,141,,,,,299
Stafford,,,,,,,,3,,,,3
Stamford,,,,,1,5,1,1,,,,8
Sterling,,,,,,,,,,,,
Stratford,,,,2,10,29,3,39,6,,,89
Thomaston ,,,6,2,1,41,36,45,42,9,19,201
Thompson,,,,,,,,1,,1,,1
Torrington,,,,1,,1,37,17,,,,56
Trumbull,,,1,38,4,1,,30,1,2,,77
Vernon,,,,,,9,1,21,,,,31
Wallingford,,,21,26,64,47,14,77,,,,31
Washington,,,,6,1,,42,65,82,84,68,348
Watertown,,1,10,13,2,43,40,14,7,,,130
West Haven,,,1,3,11,42,42,61,59,33,,130
Westbrook,,,,,6,8,40,44,39,,,137
Weston,,,,,,,12,62,3,,,77
Westport,,,,6,1,,1,,,,,8
Willington,,,,,,,,5,24,1,17,29
Wilton,,,,1,9,6,56,189,144,,,405
Windham,,,,,,,,1,,,,1
Wolcott,,,18,13,6,,1,25,18,25,8,1
Woodbridge,,,13,,,,71,104,11,1,,81
Woodbury,,,1,,,8,32,100,81,4,17,243
